"","ID","ti","W1","W2","EY1_1","EY1_2","EY1_3","EY1_4","EY1_5","EY0_1","EY0_2","EY0_3","EY0_4","EY0_5"
"351",71,6,2,28,0.50518236792834,0.532839338845037,0.546420491829817,0.549412528681168,0.567230255242909,0.570997502775541,0.617903563865402,0.597629063838823,0.579138085069792,0.57735802703949
"356",72,6,3,132,0.515552349402086,0.517229457582832,0.511341453365836,0.525026146949485,0.522576393186191,0.307512708791625,0.399098629359468,0.437856331523323,0.470346275732674,0.499271089392661
"361",73,6,1,285,0.518102503923018,0.580786792162705,0.625463398548307,0.66205523287504,0.682895230871876,0.546458919564107,0.602272052242023,0.631018284325314,0.623252334865357,0.609899048887658
"366",74,6,3,91,0.553315208595538,0.558490120836163,0.552928246981613,0.569552880180423,0.569547333087007,0.229746929724492,0.331508348376141,0.369890485843704,0.398816855566743,0.423159540989061
"371",75,6,2,28,0.50518236792834,0.532839338845037,0.546420491829817,0.549412528681168,0.567230255242909,0.570997502775541,0.617903563865402,0.597629063838823,0.579138085069792,0.57735802703949
"376",76,6,3,98,0.546899194465088,0.551486719122506,0.545864162030467,0.56200985072274,0.561592434582362,0.241990931515447,0.342653426117565,0.381213596182169,0.410813216922759,0.435998340961939
"381",77,6,1,189,0.580155807758401,0.583400086590639,0.574773411156756,0.57276423146749,0.583362464105,0.53543854573263,0.563057659562152,0.568750876144488,0.560583033957274,0.55531206671506
"386",78,6,2,62,0.513403235383755,0.542509437059075,0.553635376316833,0.5578895023338,0.575563777425901,0.576444127078633,0.618547154915936,0.603509388681344,0.588917026226401,0.588027666482893
"391",79,6,2,28,0.50518236792834,0.532839338845037,0.546420491829817,0.549412528681168,0.567230255242909,0.570997502775541,0.617903563865402,0.597629063838823,0.579138085069792,0.57735802703949
"396",80,7,2,189,0.544010914509915,0.578290951858284,0.580362362282804,0.589218478188077,0.606278547305161,0.596615171228964,0.62094746213931,0.625198779534837,0.624771551426986,0.627083447476701
"401",81,7,1,75,0.650546326291556,0.586497285934611,0.512561697045503,0.460752340582283,0.456448888234813,0.52230763569426,0.515486423041352,0.492052433446406,0.483745735233324,0.488824387082851
"406",82,7,1,35,0.673929723043178,0.587582416173829,0.490539474161093,0.421805075430511,0.412405703260382,0.517692043295668,0.498683022882319,0.465043139985561,0.45678071104036,0.465468167629612
"411",83,7,2,134,0.530782770738572,0.562873180380615,0.568835990165686,0.575724011807604,0.593064692835449,0.587915511937808,0.619908678085021,0.61586172270424,0.609386502773119,0.610339981771143
"416",84,7,2,100,0.522582483890033,0.553279081979091,0.561672277991432,0.567323787276123,0.584826925916549,0.582509564358021,0.619265970230665,0.610046223140758,0.599763567940971,0.599854977839456
"421",85,7,1,177,0.587777312461701,0.583726422266265,0.568300975830239,0.561123288294836,0.57022702026157,0.534058338489054,0.558089202745295,0.560767544809127,0.552566953716689,0.548364846659712
"426",86,7,2,246,0.55765463712185,0.594109541389104,0.592215905098196,0.603063151571038,0.619810533342997,0.605567441675781,0.622022851099561,0.634777958472336,0.640454143542477,0.644119569471135
"431",87,7,3,365,0.309876743908027,0.29422739467415,0.288137812106901,0.284586658593849,0.271439963388732,0.809974628311805,0.777479378226643,0.79533339295761,0.823265753383734,0.850836783843492
"436",88,7,2,365,0.585837347980104,0.626478560386403,0.616605535395602,0.631418666691948,0.647449036517106,0.624024550416889,0.62426408584425,0.65442934855346,0.672216042599252,0.678496710339457
"441",89,7,2,173,0.540168290306824,0.573820116730248,0.577017686878472,0.585305692900459,0.602449600271542,0.594090363092297,0.620645384303302,0.622491794439324,0.620320295319292,0.622241981775493
"446",90,7,3,261,0.397587515766197,0.388496825384293,0.382135979817533,0.38564727084032,0.376061918792143,0.608346573297096,0.624801146706408,0.654749355730095,0.689729367856537,0.723661883873824
"451",91,7,2,202,0.547129214646056,0.581914114286532,0.583074500231851,0.592389350512178,0.609380006193633,0.598662822431994,0.62119283135908,0.627392462530299,0.628372770166006,0.630998515679035
"456",92,7,3,174,0.476687102687942,0.474722246632074,0.468581843303266,0.479003144034971,0.474049391225515,0.400327743673379,0.472540662330291,0.509961554467418,0.544879397957308,0.577244165218522
"461",93,7,2,37,0.507358935136415,0.535401774499505,0.548332339569941,0.551659433411005,0.569440093913748,0.572440987179857,0.618073966570389,0.599188430208142,0.581733011250186,0.580189807402832
"466",94,7,1,28,0.677938247807801,0.58777222680462,0.48668694307496,0.415074343711691,0.4048200783868,0.516883981790703,0.495741660116253,0.460333046282255,0.452083291426148,0.461393456394449
"471",95,7,1,208,0.56801123481265,0.582883239038372,0.584968386448502,0.591027241320507,0.603913560660241,0.53762275588687,0.570898188427263,0.581316840571192,0.573209179745755,0.566266707729923
"476",96,7,2,189,0.544010914509915,0.578290951858284,0.580362362282804,0.589218478188077,0.606278547305161,0.596615171228964,0.62094746213931,0.625198779534837,0.624771551426986,0.627083447476701
"481",97,7,3,152,0.497039697242139,0.496981269176641,0.490962000530974,0.503115470828597,0.499465229870625,0.350317680837791,0.433714795076625,0.47205275668475,0.505877390020587,0.536632261420462
"486",98,7,3,42,0.597617591132973,0.606717720059829,0.601628819732272,0.621273359415812,0.624019530956716,0.156387003277546,0.259124449544861,0.295110517038753,0.318875071789625,0.337020491493702
"491",99,7,2,252,0.559086132865324,0.595763950868944,0.593457679625976,0.604511341560142,0.62122458171764,0.606505790609381,0.622135980345275,0.635780264075602,0.64208828472691,0.645892653992017
"496",100,7,2,227,0.553115354207062,0.588856632611165,0.588275913152881,0.598465398474924,0.61531938138765,0.602590894437802,0.621664520887545,0.63159631080455,0.635257980093686,0.638478855796837
"501",101,7,2,147,0.533914028674156,0.56652951544892,0.57156762989478,0.578924609430695,0.59620091456363,0.589976974541723,0.620154308395545,0.618076670584672,0.613043926063764,0.614322719954128
"506",102,7,2,190,0.544250909456672,0.57856996133723,0.580571162914573,0.589462658367341,0.606517428899672,0.596772803416811,0.620966338893365,0.625367708375028,0.625049064675101,0.627385206228283
"511",103,8,3,35,0.603835661237366,0.613463172908081,0.608447691461239,0.628470469404568,0.631584788677021,0.147630730214323,0.249664343315816,0.285166289975256,0.308159260984463,0.325414637485503
"516",104,8,1,250,0.540893862110269,0.581740088945954,0.607236883397427,0.630455106155003,0.647974985674858,0.54244577058566,0.5880988809447,0.608701578116791,0.60076169822627,0.590239351407012
"521",105,8,1,252,0.53959518871735,0.581685631218111,0.608287026726899,0.632294376993939,0.650018144148426,0.542675246863637,0.58891296566714,0.609990142162885,0.602059395497877,0.591371216836374
"526",106,8,2,69,0.515095013255687,0.544496611109822,0.555118094590732,0.559630747836265,0.577274343858763,0.577563233937646,0.618679607386494,0.604716399445963,0.590921914410409,0.590214470283109
"531",107,8,1,80,0.647568906756088,0.58636158534717,0.515312800339835,0.465664728428618,0.462017255334982,0.522884333191171,0.517585166740645,0.495435109250989,0.48712627908153,0.491749451797046
"536",108,8,1,150,0.604767560695719,0.584460408856425,0.553655687128915,0.534703116952615,0.540335781720742,0.530950996817064,0.5468690445506,0.542695808188746,0.534436810247737,0.532668579390305
"541",109,8,3,28,0.61002034601933,0.620165361098349,0.615224492991966,0.635611027727486,0.63908586432425,0.139283784134571,0.240437523085603,0.275426219014752,0.297646192314987,0.314019148673399
"546",110,8,3,350,0.32188065013603,0.307001536662065,0.300840577459566,0.298169883902933,0.285375887516982,0.786548970677734,0.75844144270837,0.777975671744239,0.807202352794671,0.836018676919713
"551",111,8,1,85,0.644579978682824,0.586225871644689,0.518062975908758,0.470583785229868,0.467595115036504,0.523460969679752,0.519683290193247,0.498818203011979,0.490508001095932,0.494675081507924
"556",112,8,1,214,0.564158330845972,0.582719986118997,0.588173228783137,0.596745195618182,0.610331512938987,0.538312210563235,0.573366963170962,0.585264021300119,0.57717744528909,0.569713177706659
"561",113,8,2,174,0.540408599095388,0.574099905693202,0.5772269394066,0.585550562959908,0.602689282585176,0.594248310913051,0.62066426691078,0.622661206980497,0.620599101488194,0.62254530005923
"566",114,8,3,98,0.546899194465088,0.551486719122506,0.545864162030467,0.56200985072274,0.561592434582362,0.241990931515447,0.342653426117565,0.381213596182169,0.410813216922759,0.435998340961939
"571",115,8,3,365,0.309876743908027,0.29422739467415,0.288137812106901,0.284586658593849,0.271439963388732,0.809974628311805,0.777479378226643,0.79533339295761,0.823265753383734,0.850836783843492
"576",116,8,3,77,0.566092037123156,0.572424672287807,0.566989746144307,0.584539189398398,0.585346025820113,0.206585406463725,0.309784066340973,0.347678494951857,0.375197568940659,0.397806802719959
"581",117,8,2,63,0.513644937646205,0.542793403395105,0.553847252278779,0.558138339870649,0.575808255915242,0.576604047790664,0.618566077777319,0.603681896352323,0.589203621319365,0.588340282032124
"586",118,8,3,252,0.405597489199871,0.397192691424835,0.390835022075611,0.39504144306331,0.385878655493474,0.587347000450102,0.609651386291905,0.640583913143208,0.675865419076324,0.709989000752895
"591",119,8,2,56,0.511952894115806,0.540805065287226,0.55236371392691,0.556395870916998,0.574096133873956,0.575484267583843,0.618433610193118,0.602473803277858,0.587196194740581,0.586150489624536
"596",120,8,2,135,0.531023725971665,0.563154684861002,0.569046267273664,0.575970440833186,0.593306213666447,0.588074196511963,0.619927574906431,0.616032275327096,0.609668285717698,0.610646876851513
"601",121,8,2,135,0.531023725971665,0.563154684861002,0.569046267273664,0.575970440833186,0.593306213666447,0.588074196511963,0.619927574906431,0.616032275327096,0.609668285717698,0.610646876851513
"606",122,9,1,267,0.529839201712421,0.581277134875801,0.616130582025824,0.645963376954411,0.665162775045422,0.544395735117848,0.595002807563105,0.619604389649355,0.611745305212124,0.599828587781126
